url,content_type_ext,content_ffb,wayback_date,crawl_date
http://www.thewebshite.fslife.co.uk:80/TRAPDOOR.Z80,.z80,0002f3da,20021216074630,2002-12-16T07:46:30Z
http://web.ukonline.co.uk:80/listener/Jetpac.z80,.z80,45100001,20021221184353,2002-12-21T18:43:53Z
http://www.bigfatpanda.fsnet.co.uk:80/code/kemshu.sna,.sna,3f58279b,20030105025112,2003-01-05T02:51:12Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincprog/spirodra.tap,.tap,13000000,20030123180340,2003-01-23T18:03:40Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincprog/contour.tap,.tap,13000000,20030123180705,2003-01-23T18:07:05Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincprog/forcefie.tap,.tap,13000000,20030123182111,2003-01-23T18:21:11Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincprog/snake.tap,.tap,13000000,20030123182421,2003-01-23T18:24:21Z
http://www.bandstash.co.uk:80/jetsetgaming/JSM.Z80,.z80,000a0469,20030204221115,2003-02-04T22:11:15Z
http://www.bandstash.co.uk:80/jetsetgaming/JSWdemons.sna,.sna,3f008439,20030204221603,2003-02-04T22:16:03Z
http://www.bigfatpanda.fsnet.co.uk:80/code/poacher.sna,.sna,3f2b2ddb,20030305180053,2003-03-05T18:00:53Z
http://www.bigfatpanda.fsnet.co.uk:80/code/kemshu.sna,.sna,3f58279b,20030305180530,2003-03-05T18:05:30Z
http://www.autolaunch.freeserve.co.uk:80/buggy.sna,.sna,3f00009b,20030311212148,2003-03-11T21:21:48Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/zx-comp/centi.tap,.tap,13000000,20030318004805,2003-03-18T00:48:05Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/zx-comp/spectres.tap,.tap,13000000,20030318004920,2003-03-18T00:49:20Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/zx-comp/knightfi.tap,.tap,13000000,20030318010139,2003-03-18T01:01:39Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/zx-comp/3dnought.tap,.tap,13000000,20030318010743,2003-03-18T01:07:43Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincprog/astralfo.tap,.tap,13000000,20030321230000,2003-03-21T23:00:00Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincprog/contour.tap,.tap,13000000,20030321230900,2003-03-21T23:09:00Z
http://www.users.globalnet.co.uk:80/~jimg/type-ins/sincprog/destroyv.tap,.tap,13000000,20030325010749,2003-03-25T01:07:49Z
http://www.bigfatpanda.fsnet.co.uk:80/code/kemshu.sna,.sna,3f58279b,20030413212717,2003-04-13T22:27:17Z
http://www.bigblack.org.uk:80/spectrum/A/ACTIONFI.TAP,.tap,13000000,20030425105527,2003-04-25T11:55:27Z
http://www.bigblack.org.uk:80/spectrum/A/ADDRESS.Z80,.z80,0097fef7,20030428214625,2003-04-28T22:46:25Z
http://www.bigblack.org.uk:80/spectrum/A/ADRVERW.Z80,.z80,00543500,20030428214701,2003-04-28T22:47:01Z
http://www.bigblack.org.uk:80/spectrum/A/ADQUEST2.Z80,.z80,00440000,20030428214822,2003-04-28T22:48:22Z
http://www.bigblack.org.uk:80/spectrum/A/ADIDASCF.Z80,.z80,5c04fd7f,20030428214843,2003-04-28T22:48:43Z
http://www.bigblack.org.uk:80/spectrum/A/ADDING.SNA,.sna,3f070087,20030428215238,2003-04-28T22:52:38Z
http://www.bigblack.org.uk:80/spectrum/A/ADVNTLND.Z80,.z80,00500000,20030428215504,2003-04-28T22:55:04Z
